home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Referee,Host,Year
Northern Ireland,Czechoslovakia,1,0,Peter Doherty,Karel Kolsky,10647,"Orjans Vall, Halmstad",Group stage,Fritz Seipelt,Sweden,1958
Hungary,Wales,1,1,Lajos Baroti,James Murphy,15343,"Jarnvallen, Sandviken",Group stage,Jose Maria Codesal,Sweden,1958
Yugoslavia,Scotland,1,1,Aleksandar Tirnanic,Dawson Walker,9591,"Arosvallen, Vasteras",Group stage,Paul Wyssling,Sweden,1958
Brazil,Austria,3,0,Vicente Feola,Josef Argauer,17788,"Rimnersvallen, Udevalla",Group stage,Maurice Guigue,Sweden,1958
Soviet Union,England,2,2,Gavril Kachalin,Walter Winterbottom,49348,"Nya Ullevi, Gothenburg",Group stage,Istvan Zsolt,Sweden,1958
France,Paraguay,7,3,Albert Batteaux,Aurelio Gonzalez,16518,"Idrottsparken, Norrkï¿½Ping",Group stage,Juan Gardeazabal,Sweden,1958
Argentina,West Germany,1,3,Guillermo Stabile,Sepp Herberger,31156,"Malmo Stadion, Malmï¿½",Group stage,Reginald Leafe,Sweden,1958
Germany,Hungary,3,2,Sepp Herberger,Gusztav Sebes,62500,"Wankdorf Stadium, Berne",Final,William Ling,Switzerland,1954
Austria,Uruguay,3,1,Walter Nausch,Juan Lopez,32000,"Hardturm, Zurich",Third-place match,Paul Wyssling,Switzerland,1954
Hungary,Uruguay,4,2,Gusztav Sebes,Juan Lopez,45000,"La Pontaise, Lausanne",Semi-finals,Benjamin Griffiths,Switzerland,1954
Germany,Austria,6,1,Sepp Herberger,Walter Nausch,58000,"St. Jakob, Basel",Semi-finals,Vincenzo Orlandini,Switzerland,1954
Germany,Yugoslavia,2,0,Sepp Herberger,Aleksandar Tirnanic,17000,"Charmilles, Geneva",Quarter-finals,Istvan Zsolt,Switzerland,1954
Hungary,Brazil,4,2,Gusztav Sebes,Zeze Moreira,40000,"Wankdorf Stadium, Berne",Quarter-finals,Arthur Ellis,Switzerland,1954
Uruguay,England,4,2,Juan Lopez,Walter Winterbottom,28000,"St. Jakob, Basel",Quarter-finals,Carl Steiner,Switzerland,1954
Switzerland,Austria,5,7,Karl Rappan,Walter Nausch,35000,"La Pontaise, Lausanne",Quarter-finals,Charlie Faultless,Switzerland,1954
Germany,Türkiye,7,2,Sepp Herberger,Sandro Puppo,17000,"Hardturm, Zurich",Group stage play-off,Raymond Vincenti,Switzerland,1954
Switzerland,Italy,4,1,Karl Rappan,Lajos Czeizler,30000,"St. Jakob, Basel",Group stage play-off,Benjamin Griffiths,Switzerland,1954
Hungary,Germany,8,3,Gusztav Sebes,Sepp Herberger,56000,"St. Jakob, Basel",Group stage,William Ling,Switzerland,1954
Türkiye,Korea Republic,7,0,Sandro Puppo,Yong Shik Kim,4000,"Charmilles, Geneva",Group stage,Esteban Marino,Switzerland,1954
Italy,Belgium,4,1,Lajos Czeizler,Doug Livingstone,24000,"Comunale di Cornaredo, Lugano",Group stage,Carl Steiner,Switzerland,1954
Switzerland,England,0,2,Karl Rappan,Walter Winterbottom,43500,"Wankdorf Stadium, Berne",Group stage,Istvan Zsolt,Switzerland,1954
Uruguay,Scotland,7,0,Juan Lopez,Andy Battie,34000,"St. Jakob, Basel",Group stage,Vincenzo Orlandini,Switzerland,1954
Brazil,Yugoslavia,1,1,Zeze Moreira,Aleksandar Tirnanic,24637,"La Pontaise, Lausanne",Group stage,Charlie Faultless,Switzerland,1954
Austria,Czechoslovakia,5,0,Walter Nausch,Josef Cejp,26000,"Hardturm, Zurich",Group stage,Vasa Stefanovic,Switzerland,1954
France,Mexico,3,2,Pierre Pibarot,Antonio Lopez,19000,"Charmilles, Geneva",Group stage,Manuel Asensi,Switzerland,1954
Switzerland,Italy,2,1,Karl Rappan,Lajos Czeizler,43000,"La Pontaise, Lausanne",Group stage,Mario Viana,Switzerland,1954
Hungary,Korea Republic,9,0,Gusztav Sebes,Yong Shik Kim,13000,"Hardturm, Zurich",Group stage,Raymond Vincenti,Switzerland,1954
Germany,Türkiye,4,1,Sepp Herberger,Sandro Puppo,28000,"Wankdorf Stadium, Berne",Group stage,Jose Da Costa Vieira,Switzerland,1954
England,Belgium,4,4,Walter Winterbottom,Doug Livingstone,14000,"St. Jakob, Basel",Group stage,Emil Schmetzer,Switzerland,1954
Uruguay,Czechoslovakia,2,0,Juan Lopez,Oldrich Nejedly,20500,"Wankdorf Stadium, Berne",Group stage,Arthur Ellis,Switzerland,1954
Yugoslavia,France,1,0,Aleksandar Tirnanic,Pierre Pibarot,16000,"La Pontaise, Lausanne",Group stage,Benjamin Griffiths,Switzerland,1954
Brazil,Mexico,5,0,Zeze Moreira,Antonio Lopez,13470,"Charmilles, Geneva",Group stage,Paul Wyssling,Switzerland,1954
Austria,Scotland,1,0,Walter Nausch,Andy Battie,25000,"Hardturm, Zurich",Group stage,Laurent Franken,Switzerland,1954
Sweden,Spain,3,1,George Raynor,Guillermo Eizaguirre,11227,"Pacaembu, Sao Paulo",Final stage,Karel Van Der Meer,Brazil,1950
Uruguay,Brazil,2,1,Juan Lopez,Flavio Costa,173850,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Final stage,George Reader,Brazil,1950
Brazil,Spain,6,1,Flavio Costa,Guillermo Eizaguirre,152772,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Final stage,Reginald Leafe,Brazil,1950
Uruguay,Sweden,3,2,Juan Lopez,George Raynor,7987,"Pacaembu, Sao Paulo",Final stage,Giovanni Galeati,Brazil,1950
Brazil,Sweden,7,1,Flavio Costa,George Raynor,138886,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Final stage,Arthur Ellis,Brazil,1950
Uruguay,Spain,2,2,Juan Lopez,Guillermo Eizaguirre,44802,"Pacaembu, Sao Paulo",Final stage,Benjamin Griffiths,Brazil,1950
Chile,United States,5,2,Arturo Bucciardi,Bill Jeffrey,8501,"Ilha do Retiro, Recife",Group stage,Mario Gardelli,Brazil,1950
Italy,Paraguay,2,0,Ferruccio Novo,Manuel Fleitas Solich,25811,"Pacaembu, Sao Paulo",Group stage,Arthur Ellis,Brazil,1950
Uruguay,Bolivia,8,0,Juan Lopez,Mario Pretto,5284,"Independencia, Belo Horizonte",Group stage,George Reader,Brazil,1950
Spain,England,1,0,Guillermo Eizaguirre,Walter Winterbottom,74462,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,Giovanni Galeati,Brazil,1950
Switzerland,Mexico,2,1,Franco Andreoli,Octavio Vial,3580,"Eucaliptos, Porto Alegre",Group stage,Ivan Eklind,Brazil,1950
Brazil,Yugoslavia,2,0,Flavio Costa,Milorad Arsenijevic,142429,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,Benjamin Griffiths,Brazil,1950
Spain,Chile,2,0,Guillermo Eizaguirre,Arturo Bucciardi,19790,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,Alberto Malcher,Brazil,1950
United States,England,1,0,Bill Jeffrey,Walter Winterbottom,10151,"Independencia, Belo Horizonte",Group stage,Generoso Dattilo,Brazil,1950
Sweden,Paraguay,2,2,George Raynor,Manuel Fleitas Solich,7903,"Durival de Brito, Curitiba",Group stage,Robert Mitchell,Brazil,1950
Brazil,Switzerland,2,2,Flavio Costa,Franco Andreoli,42032,"Pacaembu, Sao Paulo",Group stage,Ramon Azon Roma,Brazil,1950
Yugoslavia,Mexico,4,1,Milorad Arsenijevic,Octavio Vial,11078,"Eucaliptos, Porto Alegre",Group stage,Reginald Leafe,Brazil,1950
Sweden,Italy,3,2,George Raynor,Ferruccio Novo,36502,"Pacaembu, Sao Paulo",Group stage,Jean Lutz,Brazil,1950
England,Chile,2,0,Walter Winterbottom,Arturo Bucciardi,29703,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,Karel Van Der Meer,Brazil,1950
Spain,United States,3,1,Guillermo Eizaguirre,Bill Jeffrey,9511,"Durival de Brito, Curitiba",Group stage,Mario Viana,Brazil,1950
Yugoslavia,Switzerland,3,0,Milorad Arsenijevic,Franco Andreoli,7336,"Independencia, Belo Horizonte",Group stage,Giovanni Galeati,Brazil,1950
Brazil,Mexico,4,0,Flavio Costa,Octavio Vial,81649,"Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho, Rio De Janeiro",Group stage,George Reader,Brazil,1950
Brazil,Sweden,4,2,Ademar Pimenta,Joszef Nagy,12000,"Stade du Parc Lescure, Bordeaux",Third-place match,Jean Langenus,France,1938
Italy,Hungary,4,2,Vittorio Pozzo,Karoly Dietz,45000,"Stade Olympique, Colombes",Final,Georges Capdeville,France,1938
Hungary,Sweden,5,1,Karoly Dietz,Joszef Nagy,20000,"Parc des Princes, Paris",Semi-finals,Lucien Leclercq,France,1938
Italy,Brazil,2,1,Vittorio Pozzo,Ademar Pimenta,33000,"Stade Vï¿½lodrome, Marseilles",Semi-finals,Hans Wuethrich,France,1938
Brazil,Czechoslovakia,2,1,Ademar Pimenta,Vaclav Meissner,18141,"Stade du Parc Lescure, Bordeaux",Quarter-finals,Georges Capdeville,France,1938
Sweden,Cuba,8,0,Joszef Nagy,Jose Tapia,7000,"Fort Carree, Antibes",Quarter-finals,Gustav Krist,France,1938
Brazil,Czechoslovakia,1,1,Ademar Pimenta,Vaclav Meissner,22021,"Stade du Parc Lescure, Bordeaux",Quarter-finals,Pal Von Hertzka,France,1938
Hungary,Switzerland,2,0,Karoly Dietz,Karl Rappan,15000,"Victor Boucquey, Lille",Quarter-finals,Rinaldo Barlassina,France,1938
Italy,France,3,1,Vittorio Pozzo,Gaston Barreau,58455,"Stade Olympique, Colombes",Quarter-finals,Louis Baert,France,1938
Switzerland,Germany,4,2,Karl Rappan,Sepp Herberger,20025,"Parc des Princes, Paris",Round of 16,Ivan Eklind,France,1938
Cuba,Romania,2,1,Jose Tapia,Coloman Braun,8000,"Stade Municipal, Toulouse",Round of 16,Alfred Birlem,France,1938
Italy,Norway,2,1,Vittorio Pozzo,Asbjorn Halvorsen,19000,"Stade Vï¿½lodrome, Marseilles",Round of 16,Alois Beranek,France,1938
Cuba,Romania,3,3,Jose Tapia,Coloman Braun,7000,"Stade Municipal, Toulouse",Round of 16,Giuseppe Scarpi,France,1938
Hungary,Dutch East Indies,6,0,Karoly Dietz,Johannes Van Mastenbroek,9000,"Velodrome Municipale, Reims",Round of 16,Roger Conrie,France,1938
France,Belgium,3,1,Gaston Barreau,Jack Butler,30454,"Stade Olympique, Colombes",Round of 16,Hans Wuethrich,France,1938
Brazil,Poland,6,5,Ademar Pimenta,Jozef Kaluza,13452,"Stade de la Meinau, Strasbourg",Round of 16,Ivan Eklind,France,1938
Czechoslovakia,Netherlands,3,0,Vaclav Meissner,Bob Glendenning,11000,"Cavee Verte, Le Havre",Round of 16,Lucien Leclercq,France,1938
Switzerland,Germany,1,1,Karl Rappan,Sepp Herberger,27152,"Parc des Princes, Paris",Round of 16,Jean Langenus,France,1938
Italy,Czechoslovakia,2,1,Vittorio Pozzo,Karel Petru,55000,"Nazionale PNF, Rome",Final,Ivan Eklind,Italy,1934
Germany,Austria,3,2,Otto Nerz,Hugo Meisl,7000,"Giorgio Ascarelli, Naples",Third-place match,Albino Carraro,Italy,1934
Czechoslovakia,Germany,3,1,Karel Petru,Otto Nerz,15000,"Nazionale PNF, Rome",Semi-finals,Rinaldo Barlassina,Italy,1934
Italy,Austria,1,0,Vittorio Pozzo,Hugo Meisl,35000,"San Siro, Milan",Semi-finals,Ivan Eklind,Italy,1934
Italy,Spain,1,0,Vittorio Pozzo,Amadeo Garcia,43000,"Giovanni Berta, Florence",Quarter-finals,Rene Mercet,Italy,1934
Austria,Hungary,2,1,Hugo Meisl,Odon Nadas,23000,"Littorale, Bologna",Quarter-finals,Francesco Mattea,Italy,1934
Czechoslovakia,Switzerland,3,2,Karel Petru,Henry Mueller,12000,"Stadio Benito Mussolini, Turin",Quarter-finals,Alois Beranek,Italy,1934
Italy,Spain,1,1,Vittorio Pozzo,Amadeo Garcia,35000,"Giovanni Berta, Florence",Quarter-finals,Louis Baert,Italy,1934
Germany,Sweden,2,1,Otto Nerz,Joszef Nagy,3000,"San Siro, Milan",Quarter-finals,Rinaldo Barlassina,Italy,1934
Czechoslovakia,Romania,2,1,Karel Petru,Constantin Radulescu,9000,"Littorio, Trieste",Round of 16,Jean Langenus,Italy,1934
Hungary,Egypt,4,2,Odon Nadas,James Mcrea,9000,"Giorgio Ascarelli, Naples",Round of 16,Rinaldo Barlassina,Italy,1934
Austria,France,3,2,Hugo Meisl,George Kimpton,16000,"Stadio Benito Mussolini, Turin",Round of 16,Johannes Van Moorsel,Italy,1934
Switzerland,Netherlands,3,2,Henry Mueller,Bob Glendenning,33000,"San Siro, Milan",Round of 16,Ivan Eklind,Italy,1934
Sweden,Argentina,3,2,Joszef Nagy,Felipe Pascucci,14000,"Littorale, Bologna",Round of 16,Eugen Braun,Italy,1934
Spain,Brazil,3,1,Amadeo Garcia,Luiz Vinhaes,21000,"Luigi Ferraris, Genoa",Round of 16,Alfred Birlem,Italy,1934
Germany,Belgium,5,2,Otto Nerz,Hector Goetinck,8000,"Giovanni Berta, Florence",Round of 16,Francesco Mattea,Italy,1934
Italy,United States,7,1,Vittorio Pozzo,David Gould,25000,"Nazionale PNF, Rome",Round of 16,Rene Mercet,Italy,1934
Uruguay,Argentina,4,2,Alberto Suppici,Francisco Olazar,68346,"Estadio Centenario, Montevideo",Final,Jean Langenus,Uruguay,1930
Uruguay,Yugoslavia,6,1,Alberto Suppici,Bosko Simonovic,79867,"Estadio Centenario, Montevideo",Semi-finals,Gilberto Rego,Uruguay,1930
Argentina,United States,6,1,Francisco Olazar,Bob Millar,72886,"Estadio Centenario, Montevideo",Semi-finals,Jean Langenus,Uruguay,1930
Argentina,Chile,3,1,Francisco Olazar,Gyorgy Orth,41459,"Estadio Centenario, Montevideo",Group stage,Jean Langenus,Uruguay,1930
Uruguay,Romania,4,0,Alberto Suppici,Octav Luchide,70022,"Estadio Centenario, Montevideo",Group stage,Gilberto Rego,Uruguay,1930
Brazil,Bolivia,4,0,Pindaro De Carvalho,Ulises Saucedo,25466,"Estadio Centenario, Montevideo",Group stage,Thomas Balway,Uruguay,1930
Paraguay,Belgium,1,0,Jose Durand Laguna,Hector Goetinck,12000,"Estadio Centenario, Montevideo",Group stage,Ricardo Vallarino,Uruguay,1930
Chile,France,1,0,Gyorgy Orth,Raoul Caudron,2000,"Estadio Centenario, Montevideo",Group stage,Anibal Tejada,Uruguay,1930
Argentina,Mexico,6,3,Francisco Olazar,Juan Luque,42100,"Estadio Centenario, Montevideo",Group stage,Ulises Saucedo,Uruguay,1930
Uruguay,Peru,1,0,Alberto Suppici,Francisco Bru,57735,"Estadio Centenario, Montevideo",Group stage,Jean Langenus,Uruguay,1930
Yugoslavia,Bolivia,4,0,Bosko Simonovic,Ulises Saucedo,18306,"Parque Central, Montevideo",Group stage,Francisco Mateucci,Uruguay,1930
United States,Paraguay,3,0,Bob Millar,Jose Durand Laguna,18306,"Parque Central, Montevideo",Group stage,Jose Macias,Uruguay,1930
Chile,Mexico,3,0,Gyorgy Orth,Juan Luque,9249,"Parque Central, Montevideo",Group stage,Henry Cristophe,Uruguay,1930
Argentina,France,1,0,Francisco Olazar,Raoul Caudron,23409,"Parque Central, Montevideo",Group stage,Gilberto Rego,Uruguay,1930
Yugoslavia,Brazil,2,1,Bosko Simonovic,Pindaro De Carvalho,24059,"Parque Central, Montevideo",Group stage,Anibal Tejada,Uruguay,1930
Romania,Peru,3,1,Octav Luchide,Francisco Bru,2549,"Pocitos, Montevideo",Group stage,Alberto Warnken,Uruguay,1930
United States,Belgium,3,0,Bob Millar,Hector Goetinck,18346,"Parque Central, Montevideo",Group stage,Jose Macias,Uruguay,1930
France,Mexico,4,1,Raoul Caudron,Juan Luque,4444,"Pocitos, Montevideo",Group stage,Domingo Lombardi,Uruguay,1930
